Order_Line,Order_ID,Bar_code_value,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Customer_Name,Segment,Age,Country,City,State,Postal_Code,Region,Order_Year,Order_Month,Order_Month_Name
7952,OF-2023-164959,98365963,2025-01-01,2025-01-05,Standard Class,KN-16390,OFF-LA-10004272,8.67,3,0.0,4.0749,Katherine Nockton,Corporate,43,United States,Los Angeles,California,90004.0,West,2025,1,Jan
7953,OF-2023-156818,78358033,2025-01-01,2025-01-03,Second Class,JD-16015,TEC-AC-10002323,132.6,6,0.0,17.238,Joy Daniels,Consumer,23,United States,Chicago,Illinois,60610.0,Central,2025,1,Jan
7954,OF-2023-127656,29106221,2025-01-01,2025-01-07,Standard Class,NW-18400,OFF-AR-10001166,30.32,4,0.0,11.8248,Natalie Webber,Consumer,29,United States,Tigard,Oregon,97224.0,West,2025,1,Jan
7955,OF-2023-162015,64360984,2025-01-01,2025-01-08,Standard Class,KB-16240,TEC-AC-10003832,1287.45,5,0.0,244.6155,Karen Bern,Corporate,42,United States,Los Angeles,California,90036.0,West,2025,1,Jan
7956,OF-2023-162015,13758768,2025-01-01,2025-01-08,Standard Class,KB-16240,OFF-AP-10003040,168.1,5,0.0,43.706,Karen Bern,Corporate,42,United States,Los Angeles,California,90036.0,West,2025,1,Jan
7957,OF-2023-136623,5433063,2025-01-01,2025-01-06,Standard Class,TS-21430,TEC-PH-10000004,71.952,6,0.2,5.3964,Tom Stivers,Corporate,22,United States,Los Angeles,California,90045.0,West,2025,1,Jan
7958,OF-2023-136623,12446653,2025-01-01,2025-01-06,Standard Class,TS-21430,OFF-BI-10003708,29.8,5,0.2,9.3125,Tom Stivers,Corporate,22,United States,Los Angeles,California,90045.0,West,2025,1,Jan
7959,OF-2023-106047,68728870,2025-01-02,2025-01-08,Standard Class,CS-11860,OFF-PA-10000791,3.816,1,0.2,1.1925,Cari Schnelling,Consumer,69,United States,Jacksonville,North Carolina,28540.0,South,2025,1,Jan
7960,OF-2023-136364,34695537,2025-01-03,2025-01-07,Second Class,MH-17455,TEC-PH-10003885,39.594,1,0.4,-7.2589,Mark Hamilton,Consumer,49,United States,Jacksonville,North Carolina,28540.0,South,2025,1,Jan
7961,OF-2023-136364,64485645,2025-01-03,2025-01-07,Second Class,MH-17455,FUR-FU-10002501,91.008,9,0.2,19.3392,Mark Hamilton,Consumer,49,United States,Jacksonville,North Carolina,28540.0,South,2025,1,Jan
